item_id,source,environment,disposition,reason
rem:lemma2b_status,src/chapter/ch08_wielandt_fixed_length_and_normality.tex,remark,tn,MPS quantitative and blocked rank-one comparison
rem:majumdar_ghosh_bond_dimension,src/chapter/ch15_examples_majumdar_ghosh.tex,remark,tn,tensor-network example
rem:mpdo_algebra_tower_to_zcl_gap,src/chapter/ch21_mpdo_rfp_algebra_tower.tex,remark,tn,matrix-product-density-operator statement
rem:mpdo_bnt_label_length_independent_topological,src/chapter/ch21_mpdo_rfp_bnt_coefficients.tex,remark,tn,matrix-product-density-operator statement
rem:mpdo_prop4to2_sectorwise_zcl_boundary,src/chapter/ch21_mpdo_rfp_simple_local_markov_bnt_compression.tex,remark,tn,matrix-product-density-operator statement
rem:mpdo_sal_zcl_rank_one_normalization_boundary,src/chapter/ch21_mpdo_rfp_simple_local_structure_capstone.tex,remark,tn,matrix-product-density-operator statement
rem:mpdo_topological_gibbs_length_one_boundary,src/chapter/ch21_mpdo_rfp_fusion_isometries_recursive_density.tex,remark,tn,matrix-product-density-operator statement
rem:normalcf_bnt_gap,src/chapter/ch09_canonical_normal_forms_and_support_auxiliary.tex,remark,tn,matrix-product-state canonical-form statement
rem:periodic_vs_blocking_ft,src/chapter/ch22_periodic_ft_overlap_sector_match_and_consequences.tex,remark,tn,periodic matrix-product-state statement
rem:periodicity_removal_spectral,src/chapter/ch04_channels_peripheral_spectrum_and_primitivity.tex,remark,qic,quantum-channel peripheral spectrum
rem:peripheral_conventions_channels,src/chapter/ch04_channels_peripheral_spectrum_and_primitivity.tex,remark,qic,quantum-channel peripheral spectrum
rem:physRealize_mul_general,src/chapter/ch23_algebraic_ft_foundations.tex,remark,tn,algebraic matrix-product-state statement
rem:prim_definition_mismatch,src/chapter/ch08_wielandt_fixed_length_and_normality.tex,remark,tn,comparison of MPS primitivity definitions
rem:primitive_period_one_characterization,src/chapter/ch04_channels_peripheral_spectrum_and_primitivity.tex,remark,qic,quantum-channel primitivity
rem:proportional_length_scalar_gap,src/chapter/ch11_fundamental_theorem_core.tex,remark,tn,matrix-product-state canonical-form statement
rem:ring_vs_alg,src/chapter/ch23_algebraic_ft_injective_chains_and_product_algebra.tex,remark,tn,algebraic matrix-product-state statement
rem:spectral_hypothesis,src/chapter/ch14_correlations.tex,remark,tn,matrix-product-state correlation statement
rem:spt_scalar_character_conventions,src/chapter/ch12_symmetry_spt.tex,remark,tn,matrix-product-state symmetry statement
rem:stationary_support_todo,src/chapter/ch27_channel_asymptotics_fixed_points_and_wedderburn_i.tex,remark,qic,quantum-channel stationary support
rem:string_order_symmetry_diagnostic,src/chapter/ch12_symmetry_spt.tex,remark,tn,matrix-product-state symmetry statement
rem:thm_4_1_continuum_limit,src/chapter/ch22_periodic_ft_refinement_divisibility.tex,remark,tn,periodic matrix-product-state statement
rem:tp_vs_unital,src/chapter/ch09_canonical_normal_forms_and_support_auxiliary.tex,remark,tn,matrix-product-state canonical-form statement
rem:w_state_ti_bound,src/chapter/ch15_examples_w_state.tex,remark,tn,tensor-network example
rem:zero_correlation_length,src/chapter/ch26_mps_rfp_renormalization_flow_correlations.tex,remark,tn,matrix-product-state renormalization statement
thm:brouwer_simplex,src/chapter/ch06_qpf.tex,theorem,qic,finite-dimensional fixed-point theorem
thm:cpsv_charact_mps_status,src/chapter/ch26_mps_rfp_direct_sums_residual_isometries.tex,theorem,tn,matrix-product-state renormalization statement
thm:cpsv_examples410_412_status,src/chapter/ch21_mpdo_rfp_simple_local_structure_capstone.tex,theorem,tn,matrix-product-density-operator statement
thm:cpsv_main_mps_status,src/chapter/ch26_mps_rfp_zero_correlation_length.tex,theorem,tn,matrix-product-state renormalization statement
thm:cpsv_prop27_printed_status,src/chapter/ch10_bnt_definitions_and_characterization.tex,theorem,tn,matrix-product-state canonical-form statement
thm:cpsv_prop45_printed_status,src/chapter/ch21_mpdo_rfp_area_law_mixed_state_bounds.tex,theorem,tn,matrix-product-density-operator statement
thm:cpsv_prop_c14_printed_status,src/chapter/ch21_mpdo_rfp_gsnnch_definitions.tex,theorem,tn,matrix-product-density-operator statement
thm:cpsv_rfp_gauge_printed_status,src/chapter/ch26_mps_rfp_renormalization_flow_correlations.tex,theorem,tn,matrix-product-state renormalization statement
thm:cpsv_theorem210_printed_status,src/chapter/ch11_fundamental_theorem_cases.tex,theorem,tn,matrix-product-state canonical-form statement
thm:cpsv_theorem414_printed_status,src/chapter/ch21_mpdo_rfp_fusion_isometries_product_laws.tex,theorem,tn,matrix-product-density-operator statement
thm:cpsv_theorem44_printed_status,src/chapter/ch21_mpdo_rfp_foundations.tex,theorem,tn,matrix-product-density-operator statement
thm:cpsv_theorem49_printed_status,src/chapter/ch21_mpdo_rfp_simple_local_structure_capstone.tex,theorem,tn,matrix-product-density-operator statement
thm:cpsv_theorem_zcl_pure_status,src/chapter/ch26_mps_rfp_zero_correlation_length.tex,theorem,tn,matrix-product-state renormalization statement
thm:fundamentalTheorem_normalPEPS,src/chapter/ch24_peps_ft_normal_capstone_normal_peps.tex,theorem,tn,projected-entangled-pair-state statement
thm:fundamentalTheorem_normalSquarePEPS,src/chapter/ch24_peps_ft_normal_square_blocking_and_fundamental.tex,theorem,tn,projected-entangled-pair-state statement
thm:kraus_conjTranspose_mul_eq_of_map_eq,src/chapter/ch16_channel_representations_choi_and_kraus.tex,theorem,qic,Kraus representation freedom
thm:kraus_dual_eq_of_map_eq,src/chapter/ch16_channel_representations_choi_and_kraus.tex,theorem,qic,Kraus representation freedom
thm:kraus_isometry_freedom_iff,src/chapter/ch16_channel_representations_choi_and_kraus.tex,theorem,qic,Kraus representation freedom
thm:kraus_same_map_of_isometry_combination,src/chapter/ch16_channel_representations_choi_and_kraus.tex,theorem,qic,Kraus representation freedom
thm:kraus_sum_conjTranspose_mul_of_tp,src/chapter/ch16_channel_representations_choi_and_kraus.tex,theorem,qic,Kraus representation of trace preservation
thm:kraus_unitary_freedom_iff,src/chapter/ch16_channel_representations_choi_and_kraus.tex,theorem,qic,Kraus representation freedom
thm:lorentz_normal_form_qubit,src/chapter/ch16_channel_representations_normal_forms_and_determinant.tex,theorem,qic,qubit positive-map normal form
thm:majumdar_ghosh_ground_space,src/chapter/ch15_examples_majumdar_ghosh.tex,theorem,tn,tensor-network example
thm:mpdo_positive_perBlockLinearExtension_unitary,src/chapter/ch21_mpdo_rfp_bnt_theorem_data.tex,theorem,tn,matrix-product-density-operator statement
thm:mpdo_sal_zcl_blocking_channels,src/chapter/ch21_mpdo_rfp_simple_local_refinement_channels_physical_coordinates.tex,theorem,tn,matrix-product-density-operator statement
thm:mpdo_sal_zcl_bnt_sector_structure,src/chapter/ch21_mpdo_rfp_simple_local_structure_capstone.tex,theorem,tn,matrix-product-density-operator statement
thm:mpdo_virtual_perBlockLinearExtension_bijective,src/chapter/ch21_mpdo_rfp_bnt_theorem_data.tex,theorem,tn,matrix-product-density-operator statement
